availability,description,image,name,price,price_currency,sku,url
InStock,"Playera larga, color verde,  manga corta, cuello redondo, tela single jersey, corte regular, bastilla redondeada. Medidas de Modelo: 1.88 cm de altura Top: CH Bottom: 30/CH ","[""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw6bcc93d3/images/Abril 2024/3084000_A.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dwc08c8397/images/Abril 2024/3084000_B.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dwf860c376/images/Abril 2024/3084000_C.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw5a431bd6/images/Abril 2024/3084000_D.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw82ba2a32/images/Abril 2024/3084000_E.jpg""]",Playera Long Fit Verde,199.0,MXN,3084000,https://www.cyamoda.com/playera-long-fit-verde/3084000.html
InStock,"Conjunto de blusa en color lila, escote cuadrado, volante en hombros con diseño eyelet y short con elástico en cintura y estampado gráfico.","[""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw64de1aab/images/Abril 2024/3080652_A.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw3dceee6a/images/Abril 2024/3080652_B.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dwa29943f5/images/Abril 2024/3080652_C.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw29fb14ff/images/Abril 2024/3080652_D.jpg""]",Conjunto De Blusa Y Short,129.0,MXN,3080652,https://www.cyamoda.com/conjunto-de-blusa-y-short/3080652.html
InStock,"Playera tank, sin mangas, cuello redondo, color verde empolvado, fit slim, solida.","[""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw2941177a/images/Enero 2024/3074492_A.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw1bb264b5/images/Enero 2024/3074492_B.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw7fbd8467/images/Enero 2024/3074492_C.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw8fa7c2aa/images/Enero 2024/3074492_D.jpg""]",Playera Tank Solida,129.0,MXN,3074492,https://www.cyamoda.com/playera-tank-solida/3074492.html
InStock,"Leggings en color rosa, tiro medio con elástico en cintura y aplicación de glitter en toda la prenda.","[""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw2c72c41f/images/Abril 2024/3088587_A.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dwff1fb162/images/Abril 2024/3088587_B.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw35d8c6f2/images/Abril 2024/3088587_C.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw220d2bfd/images/Abril 2024/3088587_D.jpg""]",Leggings Largo Rosa,99.0,MXN,3088587,https://www.cyamoda.com/leggings-largo-rosa/3088587.html
InStock,"Playera color arena, manga corta, cuello redondo, corte cuadrado, oversize, bastilla recta. Medidas de Modelo: 1.80 cm de altura Top: M Bottom: 32/M ","[""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw8e7829e6/images/Abril 2024/3084025_A.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dwafc77711/images/Abril 2024/3084025_B.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dwfe5307f3/images/Abril 2024/3084025_C.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dwc527cb3f/images/Abril 2024/3084025_D.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dwe6b8285e/images/Abril 2024/3084025_E.jpg""]",Playera Fit Boxy Arena,199.0,MXN,3084025,https://www.cyamoda.com/playera-fit-boxy-arena/3084025.html
InStock,"Playera color crema en tejido single jersey de algodón más sustentable, manga corta amplia con ligero plisado, cuello redondo con rib, estampado frontal con texto crezco y aprendo.","[""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw80772800/images/Abril 2024/3085688_A.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw72884aa5/images/Abril 2024/3085688_B.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dwfb1cc80a/images/Abril 2024/3085688_C.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw62ab1ae9/images/Abril 2024/3085688_D.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw8bfd02b5/images/Abril 2024/3085688_E.jpg""]",Playera Estampada Manga Corta,89.0,MXN,3085688,https://www.cyamoda.com/playera-estampada-manga-corta/3085688.html
InStock,"Polo color azul marino, manga corta, cuello mao, cerrado con 3 botones, mangas acanaladas, fit regular. Medidas de Modelo: 1.88 cm de altura Top: CH Bottom: 30/CH ","[""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dwaddffa81/images/Abril 2024/3084844_A.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw5ec17877/images/Abril 2024/3084844_B.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw9bf39e81/images/Abril 2024/3084844_C.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw91928416/images/Abril 2024/3084844_D.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw355b7b48/images/Abril 2024/3084844_E.jpg""]",Polo Cuello Mao Azul,249.0,MXN,3084844,https://www.cyamoda.com/polo-cuello-mao-azul/3084844.html
InStock,"Playera crop, manga corta, cuello redondo, color rosa, diseño sólido, corte holgado. Medidas de Modelo: 1.77 cm de altura Top: EECH Bottom: 0 ","[""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dwfefd9ed9/images/Abril 2024/3089119_A.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dwfd85abca/images/Abril 2024/3089119_B.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw57909ba1/images/Abril 2024/3089119_C.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dwf3652920/images/Abril 2024/3089119_D.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dwf2b2f85c/images/Abril 2024/3089119_E.jpg""]",Playera Crop Manga Corta,129.0,MXN,3089119,https://www.cyamoda.com/playera-crop-manga-corta/3089119.html
InStock,"Playera color negro, manga corta, cuello redondo, fit slim, con estampado al frente New York. Son perfectas para combinar todos los días con cualquier estilo. Medidas de Modelo: 1.80 cm de altura Top: M Bottom: 30 ","[""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dwed57387d/images/Abril 2024/3090030_A.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw559f4b0a/images/Abril 2024/3090030_B.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw228ed599/images/Abril 2024/3090030_C.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dwdee603f1/images/Abril 2024/3090030_D.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dwdbad1d1d/images/Abril 2024/3090030_E.jpg""]",Playera Estampada Manga Corta,129.0,MXN,3090030,https://www.cyamoda.com/playera-estampada-manga-corta/3090030.html
InStock,"Sudadera cerrada de Lionel Messi, cuello redondo, rib en puños y bajo, color azul cielo.","[""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw797ea11b/images/Enero 2024/3079817_A.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw1a4d5ba2/images/Enero 2024/3079817_B.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw85ce1b02/images/Enero 2024/3079817_C.jpg"", ""https://www.cyamoda.com/on/demandware.static/-/Sites-siteCatalog_cya_mx/default/dw06f2e258/images/Enero 2024/3079817_D.jpg""]",Sudadera Cerrada Lionel Messi,199.0,MXN,3079817,https://www.cyamoda.com/sudadera-cerrada-lionel-messi/3079817.html
